id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Oda;Mohr;Trudie_DAmore@yahoo.com;attribute;2025-09-09T09:16:00;22950;7230
2;Leonora;Deckow;Liana72@yahoo.com;customise brace;2025-09-08T16:15:48;1823;8981
3;Sydnie;Hagenes;Hadley42@hotmail.com;government since how;2025-09-09T11:42:46;3862;4196
4;Dedrick;Vandervort;Rocky_Windler48@gmail.com;chasuble bin;2025-09-09T00:38:10;3758;13024
5;Braden;Prosacco;Idella.Harber@yahoo.com;airbrush during;2025-09-09T04:54:00;5719;31950
6;Blanche;Jast;Victoria84@gmail.com;slake;2025-09-09T11:22:17;4079;31125
7;Efrain;Schinner;Jayden.Carter39@yahoo.com;er impractical;2025-09-09T02:01:24;11354;31911
8;Eugenia;Waelchi;Dessie_Stanton85@gmail.com;vainly ack;2025-09-08T15:58:42;29325;31944
9;Jude;Adams;Alycia.Legros@yahoo.com;needy oof pish;2025-09-09T10:32:07;10580;4727
10;Alessandro;Little;Andy_Barrows@yahoo.com;gah duh what;2025-09-09T01:26:56;20974;15791
